DE_union_geneID	DE_union_transID
ENSG00000092621	ENST00000641597
ENSG00000092758	ENST00000649368
ENSG00000092853	ENST00000318121
ENSG00000092929	ENST00000207549
ENSG00000092978	ENST00000366935
ENSG00000093009	ENST00000437685
ENSG00000093072	ENST00000696197
ENSG00000093217	ENST00000207870
ENSG00000094804	ENST00000209728
ENSG00000094880	ENST00000394886
ENSG00000094916	ENST00000209875
ENSG00000094975	ENST00000367723
ENSG00000095002	ENST00000645506
ENSG00000095015	ENST00000399503
ENSG00000095303	ENST00000362012
ENSG00000095319	ENST00000372577
ENSG00000095380	ENST00000427646
ENSG00000095383	ENST00000465784
ENSG00000095397	ENST00000362057
ENSG00000095637	ENST00000371247
ENSG00000095739	ENST00000375533
ENSG00000095794	ENST00000685392
ENSG00000096060	ENST00000542713
ENSG00000096384	ENST00000371554
ENSG00000096696	ENST00000379802
ENSG00000096746	ENST00000265866
ENSG00000096968	ENST00000381652
ENSG00000096996	ENST00000600835
ENSG00000097046	ENST00000428239
ENSG00000097096	ENST00000696556
ENSG00000099204	ENST00000533213
ENSG00000099246	ENST00000356940
ENSG00000099250	ENST00000265371
ENSG00000099284	ENST00000679349
ENSG00000099377	ENST00000262520
ENSG00000099381	ENST00000262519
ENSG00000099783	ENST00000348943
ENSG00000099849	ENST00000397583
ENSG00000099860	ENST00000215631
ENSG00000099901	ENST00000430524
ENSG00000099910	ENST00000328879
ENSG00000099942	ENST00000354336
ENSG00000099953	ENST00000215743
ENSG00000099954	ENST00000342247
ENSG00000099956	ENST00000644036
ENSG00000099957	ENST00000413302
ENSG00000099994	ENST00000358321
ENSG00000099995	ENST00000215793
ENSG00000099998	ENST00000327365
ENSG00000100029	ENST00000402281
ENSG00000100036	ENST00000343605
ENSG00000100097	ENST00000215909
ENSG00000100099	ENST00000398145
ENSG00000100100	ENST00000215912
ENSG00000100106	ENST00000644935
ENSG00000100129	ENST00000412331
ENSG00000100139	ENST00000215957
ENSG00000100142	ENST00000442738
ENSG00000100146	ENST00000698177
ENSG00000100167	ENST00000396425
ENSG00000100220	ENST00000216038
ENSG00000100234	ENST00000266085
ENSG00000100243	ENST00000361740
ENSG00000100266	ENST00000263246
ENSG00000100285	ENST00000310624
ENSG00000100292	ENST00000216117
ENSG00000100296	ENST00000490103
ENSG00000100297	ENST00000216122
ENSG00000100300	ENST00000396265
ENSG00000100316	ENST00000216146
ENSG00000100335	ENST00000325301
ENSG00000100336	ENST00000616056
ENSG00000100342	ENST00000319136
ENSG00000100347	ENST00000350028
ENSG00000100350	ENST00000684868
ENSG00000100353	ENST00000216190
ENSG00000100360	ENST00000340630
ENSG00000100372	ENST00000402844
ENSG00000100376	ENST00000216214
ENSG00000100416	ENST00000645190
ENSG00000100417	ENST00000216259
ENSG00000100425	ENST00000457780
ENSG00000100427	ENST00000395876
ENSG00000100462	ENST00000397441
ENSG00000100473	ENST00000644874
ENSG00000100490	ENST00000395834
ENSG00000100504	ENST00000216392
ENSG00000100505	ENST00000298355
ENSG00000100558	ENST00000216446
ENSG00000100578	ENST00000652326
ENSG00000100580	ENST00000216468
ENSG00000100591	ENST00000216479
ENSG00000100592	ENST00000360909
ENSG00000100605	ENST00000267615
ENSG00000100614	ENST00000395076
ENSG00000100632	ENST00000557016
ENSG00000100650	ENST00000553521
ENSG00000100664	ENST00000216554
ENSG00000100697	ENST00000674628
ENSG00000100722	ENST00000251038
ENSG00000100749	ENST00000680335
ENSG00000100784	ENST00000614987
ENSG00000100813	ENST00000262710
ENSG00000100823	ENST00000216714
ENSG00000100842	ENST00000351354
ENSG00000100889	ENST00000545054
ENSG00000100911	ENST00000615264
ENSG00000100941	ENST00000216832
ENSG00000100968	ENST00000413692
ENSG00000100994	ENST00000216962
ENSG00000101003	ENST00000696806
ENSG00000101017	ENST00000372285
ENSG00000101057	ENST00000396863
ENSG00000101096	ENST00000371564
ENSG00000101098	ENST00000372851
ENSG00000101126	ENST00000371602
ENSG00000101144	ENST00000395863
ENSG00000101146	ENST00000395840
ENSG00000101158	ENST00000602795
ENSG00000101166	ENST00000355937
ENSG00000101187	ENST00000217159
ENSG00000101188	ENST00000370501
ENSG00000101193	ENST00000266069
ENSG00000101194	ENST00000370351
ENSG00000101197	ENST00000217169
ENSG00000101210	ENST00000217182
ENSG00000101247	ENST00000378106
ENSG00000101265	ENST00000379400
ENSG00000101310	ENST00000336714
ENSG00000101335	ENST00000279022
ENSG00000101347	ENST00000646673
ENSG00000101361	ENST00000329276
ENSG00000101365	ENST00000380843
ENSG00000101367	ENST00000375571
ENSG00000101384	ENST00000254958
ENSG00000101391	ENST00000357886
ENSG00000101400	ENST00000217381
ENSG00000101417	ENST00000409299
ENSG00000101439	ENST00000398411
ENSG00000101444	ENST00000538132
ENSG00000101447	ENST00000619304
ENSG00000101624	ENST00000262127
ENSG00000101638	ENST00000315087
ENSG00000101680	ENST00000389658
ENSG00000101695	ENST00000217740
ENSG00000101773	ENST00000399722
ENSG00000101811	ENST00000415585
ENSG00000101850	ENST00000467482
ENSG00000101868	ENST00000379068
ENSG00000101871	ENST00000453318
ENSG00000101882	ENST00000371410
ENSG00000101901	ENST00000394780
ENSG00000101911	ENST00000380668
ENSG00000101972	ENST00000371145
ENSG00000102024	ENST00000355899
ENSG00000102030	ENST00000464845
ENSG00000102054	ENST00000380087
ENSG00000102078	ENST00000612248
ENSG00000102098	ENST00000251900
ENSG00000102103	ENST00000651767
ENSG00000102109	ENST00000218230
ENSG00000102144	ENST00000373316
ENSG00000102221	ENST00000614628
ENSG00000102226	ENST00000218348
ENSG00000102265	ENST00000456754
ENSG00000102271	ENST00000373119
ENSG00000102317	ENST00000376759
ENSG00000102359	ENST00000373004
ENSG00000102384	ENST00000682095
ENSG00000102393	ENST00000649178
ENSG00000102452	ENST00000251127
ENSG00000102471	ENST00000218652
ENSG00000102524	ENST00000430559
ENSG00000102531	ENST00000541916
ENSG00000102554	ENST00000377687
ENSG00000102575	ENST00000592659
ENSG00000102743	ENST00000707033
ENSG00000102755	ENST00000282397
ENSG00000102871	ENST00000486556
ENSG00000102900	ENST00000542526
ENSG00000102974	ENST00000646076
ENSG00000103037	ENST00000219315
ENSG00000103064	ENST00000566454
ENSG00000103121	ENST00000219400
ENSG00000103145	ENST00000574980
ENSG00000103160	ENST00000219439
ENSG00000103175	ENST00000568638
ENSG00000103196	ENST00000262424
ENSG00000103227	ENST00000262301
ENSG00000103257	ENST00000261622
ENSG00000103269	ENST00000219551
ENSG00000103335	ENST00000301015
ENSG00000103365	ENST00000309859
ENSG00000103415	ENST00000619913
ENSG00000103429	ENST00000261658
ENSG00000103489	ENST00000261381
ENSG00000103490	ENST00000561508
