gene_name	Fold Change Protein Abundance, 24hrs: Log2(-SG/+SG)	Fold Change Protein Abundance, 48hrs: Log2(-SG/+SG)	Z-Score
GDE1	0.182852843	0.954666311	0.946889622
MAFK	0.107894475	0.970127509	0.946889622
LAMA5	-0.819875973	-1.762045547	0.945279113
KIF13A	0.017543073	-0.288171744	0.945279113
PIK3R4	-0.03954341	-0.162983778	0.942564588
ABCC1	-0.01725501	0.045283933	0.942325824
NUP210	0.11730767	0.732908189	0.937262098
PLEKHG2	-0.04326007	-0.312510513	0.931525906
UTP20	-0.087291186	0.268230001	0.929648504
IKBKE	-0.508778127	-1.104778594	0.927842281
CA13	-0.20251225	-0.709435435	0.927842281
SDCBP	-0.644309016	-0.63611402	0.927842281
LDHD	-0.215631601	-0.46764171	0.927842281
IRF3	-0.23478787	-0.421981159	0.927842281
CLUAP1	-0.136484565	-0.35148945	0.927842281
EIF2B2	0.055280188	-0.316535107	0.927842281
GABPB1	-0.074342909	-0.230773182	0.927842281
TRIT1	-0.440473809	-0.205417568	0.927842281
FBXL20	-0.115323838	-0.147468919	0.927842281
PEPD	0.068459686	-0.147260788	0.927842281
COQ9	0.001035087	-0.130579299	0.927842281
STAMBPL1	0.073693711	-0.048974457	0.927842281
EPHX2	0.039014966	-0.040160555	0.927842281
GTPBP10	-0.030435351	-0.002087289	0.927842281
COPS2	0.024208224	0.008381921	0.927842281
STX18	-0.091002567	0.026108082	0.927842281
MNT	-0.250309554	0.191910134	0.927842281
SCARB2	-0.020704429	0.201820208	0.927842281
SLC25A24	0.026534283	0.210025909	0.927842281
USP18	0.064200331	0.232839448	0.927842281
KDELC1	0.420794173	0.746410671	0.927842281
ABL1	0.049823519	-0.362447197	0.927678495
YTHDC2	-0.011730889	-0.191306154	0.927678495
ADAR	-0.107673066	-0.113344078	0.927678495
USP40	-0.05940302	-0.451905258	0.924877027
MLLT1	-0.276463276	-0.260695845	0.924877027
ZMIZ1	0.179629616	0.232015187	0.924877027
ZMIZ2	0.203712716	0.352669603	0.924877027
RIN1	0.002461135	-0.167657428	0.920365022
AP5Z1	-0.188062842	-0.093938395	0.920365022
QRICH1	-0.007586181	0.091239778	0.920365022
ORC2	-0.085959358	0.119688206	0.920365022
BRAT1	-0.198855941	0.184310371	0.920365022
DOPEY2	0.46506487	0.284448381	0.918210608
GAPVD1	-0.016603042	-0.478249376	0.9118492
ACO1	0.025593861	-0.214551026	0.906820358
TGFBR2	-0.17804895	-0.171292948	0.906820358
CEP89	-0.024118997	-0.153324897	0.906820358
RGS14	-0.072154482	-0.098049287	0.906820358
IPO8	-0.264262721	-0.009431806	0.906820358
GLCE	0.013132097	0.044496233	0.906820358
FANCG	-0.458615148	0.092955863	0.906820358
ZNF276	-0.007033506	0.142187709	0.906820358
RBM25	0.007733889	0.212049063	0.906820358
DDOST	0.026702727	0.303819469	0.906820358
FOSB	0.925977801	1.144909202	0.906820358
KIAA0319L	0.04277649	-0.020443617	0.905891465
SNX19	-0.398155686	0.122561424	0.905891465
SEL1L3	0.853020474	1.695735635	0.905891465
MT1G	-0.080475263	-0.516436187	0.905570358
DNPH1	0.127688532	-0.516330149	0.905570358
DCTN3	-0.003726252	-0.324465932	0.905570358
BID	-0.090237241	-0.296546357	0.905570358
RABIF	0.041658961	-0.282618296	0.905570358
RBBP9	-0.019813519	-0.258940431	0.905570358
APOBEC3C	-0.394153165	-0.232234259	0.905570358
RAC3	0.097210491	-0.218603755	0.905570358
NTPCR	-0.098850868	-0.195832351	0.905570358
ELP6	0.024066432	-0.182604259	0.905570358
CD9	-0.180248968	-0.135742102	0.905570358
BET1	0.007495808	-0.132638816	0.905570358
C15orf40	-0.129426056	-0.131212875	0.905570358
GEMIN6	0.019317401	-0.120967169	0.905570358
S100A11	0.208323624	-0.106643576	0.905570358
TXNDC12	-0.023141124	-0.097639216	0.905570358
GM2A	-0.184015136	-0.08962953	0.905570358
TAGLN2	0.025541356	-0.047345504	0.905570358
TXN2	0.115351583	-0.039102559	0.905570358
PSMB3	0.057276663	-0.018262206	0.905570358
EFHD2	0.040113856	-0.010334184	0.905570358
LIN52	-0.403448026	0.013418307	0.905570358
RPS3	0.12083673	0.02735161	0.905570358
DOHH	0.073471345	0.039064843	0.905570358
LACTB2	0.085753751	0.058855483	0.905570358
CYB5A	0.040352167	0.06070948	0.905570358
NPM3	0.067028383	0.104372005	0.905570358
METTL21A	0.112825673	0.105673006	0.905570358
NXT2	-0.110421362	0.107281659	0.905570358
MCEE	-0.024623776	0.109946913	0.905570358
PMVK	-0.009987079	0.115585492	0.905570358
LENG1	0.081793932	0.123476896	0.905570358
MRPL28	-0.040529129	0.132998757	0.905570358
MRPS33	-0.051053953	0.137339012	0.905570358
TIMM13	-0.023367883	0.154948587	0.905570358
NDUFB8	0.057466292	0.157398119	0.905570358
RPLP1	0.223905518	0.161450684	0.905570358
TMED1	0.097711586	0.192060749	0.905570358
CHP1	0.004601116	0.208979465	0.905570358
COMTD1	0.166834315	0.247360231	0.905570358
RAB27A	0.086960652	0.294825939	0.905570358
TMEM14C	0.01363965	0.353320368	0.905570358
SLC25A20	0.100536458	0.364861794	0.905570358
LAGE3	0.387642875	0.469704895	0.905570358
EMG1	-0.014024174	0.482726277	0.905570358
PEMT	-0.106076731	0.502071593	0.905570358
AURKAIP1	-0.021510342	0.504085928	0.905570358
TNFRSF12A	0.459170619	0.740608365	0.905570358
RAB32	0.295952861	0.797607456	0.905570358
EPHB4	-0.147351873	-0.194771654	0.893894166
OAS3	-0.014994653	-0.064099199	0.893894166
SNX14	-0.297926	0.043977049	0.893894166
LIG1	-0.080923567	0.142960813	0.893894166
TMEM8A	-0.032585035	1.269022129	0.893894166
PRPF4B	-0.007179114	0.119941921	0.889334124
KIAA1211L	-0.170827804	-0.21679124	0.888658416
LRRK1	0.037299177	-0.161691201	0.886385069
NBAS	0.079094802	0.104217844	0.878812418
CHD4	-0.1385676	0.256264309	0.878305107
ARNT	-0.965129579	-1.249186565	0.872946838
OFD1	-0.242325826	-0.441164657	0.872946838
HSPG2	-1.003461389	-0.934369329	0.871778337
MAVS	0.014203457	0.145732202	0.870554001
TEX10	0.01460109	0.260507501	0.870554001
INCENP	-0.221637751	0.380571108	0.870554001
PIK3R1	0.027382591	-0.307090243	0.870349043
SSH3	-0.011499138	-0.27535818	0.870349043
USP14	0.048919402	-0.259567503	0.870349043
RXRB	-0.214604942	-0.188986485	0.870349043
RPS6KA1	-0.070836536	-0.162339676	0.870349043
NPRL3	-0.220925663	-0.114611718	0.870349043
PSMD5	0.163568675	-0.098548215	0.870349043
DARS2	0.067230052	0.146399159	0.870349043
HERPUD1	-2.168786486	-0.60072025	0.8677538
TXNRD1	0.009336887	-0.561395664	0.8677538
P4HA1	-0.191779077	-0.555155205	0.8677538
CIAO1	-0.19558475	-0.408355139	0.8677538
ARCN1	-0.00233649	-0.386940745	0.8677538
KLC4	-0.023734802	-0.356772435	0.8677538
TROVE2	-0.02416718	-0.273334386	0.8677538
CNDP2	0.094969526	-0.261322437	0.8677538
RUVBL2	-0.170722993	-0.254984113	0.8677538
CLK3	-0.427273012	-0.231893688	0.8677538
CCT6A	-0.057735064	-0.230575595	0.8677538
SNUPN	-0.172912152	-0.152505112	0.8677538
MARS	0.150615232	-0.127420538	0.8677538
TAF8	-0.065807951	-0.111402277	0.8677538
LTBR	-0.415160637	-0.054047388	0.8677538
PSMD11	0.037215305	-0.029174432	0.8677538
WDR45	0.047196968	-0.028383087	0.8677538
PSEN2	-0.107168401	-0.027994516	0.8677538
C2orf69	-0.013392814	-0.026893081	0.8677538
OXCT1	-0.006480589	0.026412325	0.8677538
FAM219B	0.100916403	0.029585706	0.8677538
HMGCL	0.046870223	0.049911878	0.8677538
ACSF2	0.054065301	0.071620864	0.8677538
GTPBP3	0.083975781	0.095494846	0.8677538
KPNA4	0.183913308	0.152071593	0.8677538
PALM	0.118945964	0.181640559	0.8677538
LGMN	-0.164575769	0.19807558	0.8677538
BCO2	-0.27547679	0.227341397	0.8677538
AATF	-0.031863438	0.251536826	0.8677538
HNRNPUL1	0.070305722	0.262525074	0.8677538
PLBD1	0.0493612	0.272129424	0.8677538
SCPEP1	-0.098339216	0.332381824	0.8677538
APEX2	-0.400406624	0.377137469	0.8677538
METTL16	0.196176403	0.387810217	0.8677538
RBM34	0.081545602	0.444554341	0.8677538
KDM2B	-0.336353386	-0.031103489	0.858565706
RSF1	-0.050624456	0.068335688	0.858384419
TNRC18	-0.607632112	0.266090911	0.857761418
TM4SF18	-1.321338265	-0.878051467	0.845765017
IL1B	0.388817366	-0.624429542	0.845765017
INSIG2	-0.520785939	-0.496277941	0.845765017
FADS3	-0.282068607	-0.49436466	0.845765017
PTER	-0.088281803	-0.321055982	0.845765017
ACTR2	-0.025850353	-0.273279461	0.845765017
FN3KRP	-0.057920236	-0.2722327	0.845765017
NUDT18	-0.080935203	-0.254141578	0.845765017
TNIP2	-0.521316572	-0.206698207	0.845765017
YWHAB	0.06607814	-0.200175312	0.845765017
COQ5	-0.040849272	-0.169014351	0.845765017
CCNDBP1	-0.183744265	-0.139373047	0.845765017
MAPK1	-0.063543205	-0.129788314	0.845765017
MORF4L2	-0.837881217	-0.128770397	0.845765017
MAPK14	-0.10564112	-0.123215268	0.845765017
CIB1	-0.125102001	-0.118764565	0.845765017
TMEM177	0.103615188	-0.104972684	0.845765017
CA2	0.105866196	-0.078695072	0.845765017
CHN1	0.002246615	-0.037751952	0.845765017
SUPT3H	-0.00702372	-0.02851177	0.845765017
CSNK1A1	-0.012576004	-0.016356149	0.845765017
AAR2	-0.080255402	-0.01591405	0.845765017
IDH3G	-0.017796115	0.003308162	0.845765017
PSMB7	0.161767793	0.034956133	0.845765017
PHB	0.034167383	0.052767112	0.845765017
C6orf203	-0.038486252	0.078823231	0.845765017
UQCRC1	0.085337278	0.080547047	0.845765017
MAPK13	0.133819842	0.098642084	0.845765017
MRPL35	0.018330279	0.143599114	0.845765017
LMAN2	0.095795589	0.155018497	0.845765017
LYAR	0.02161665	0.191389146	0.845765017
TOR3A	-0.031714459	0.19515806	0.845765017
CORO1C	0.109957512	0.209888214	0.845765017
SMARCD2	-0.186102667	0.286686556	0.845765017
DDX39A	0.125430111	0.308470376	0.845765017
FEM1B	-0.464599551	0.309281821	0.845765017
PDLIM7	0.322610915	0.350677083	0.845765017
RALY	-0.007430822	0.355501545	0.845765017
CERS2	0.102113116	0.472076469	0.845765017
TSC1	0.045422176	-0.26783082	0.845355554
VCPIP1	-0.07784027	-0.232208706	0.845355554
SCEL	-0.203658717	-0.509151593	0.839440628
SLC38A10	-0.28190482	-0.357655034	0.839440628
PTK2B	0.04943689	-0.232359475	0.839440628
MIB1	-0.152940922	-0.093544781	0.839440628
WDR48	-0.097893099	0.034155291	0.839440628
RPA1	0.044544905	0.075344457	0.839440628
NUP93	-0.033082033	0.095942092	0.839440628
C3	-0.34677838	-0.561340946	0.833182099
UGGT1	0.019529061	-0.134278643	0.833182099
FAM160A2	0.015139011	-0.209166334	0.831263831
PAN3	0.015623063	-0.114541703	0.831263831
AGAP3	0.046778708	-0.074652765	0.831263831
XPO6	0.103607485	0.296527883	0.831263831
SYNE1	-0.195435659	-0.05246405	0.821720203
APP	-1.317000198	-1.002172671	0.820678163
TRIM5	-0.396458893	-0.530148104	0.820678163
CHMP7	-0.073067132	-0.427268903	0.820678163
SMAD5	-0.466287499	-0.349579248	0.820678163
ALDH8A1	-0.035078442	-0.27844772	0.820678163
SLC2A1	-0.223807607	-0.277098661	0.820678163
ABCD4	-0.213675771	-0.250575803	0.820678163
DTNBP1	-0.002511093	-0.183088704	0.820678163
RGP1	-0.040405341	-0.080688652	0.820678163
VPS16	0.018054137	-0.074140946	0.820678163
WDFY1	-0.110198538	-0.062268796	0.820678163
SMU1	-0.206900808	-0.014773116	0.820678163
RFFL	0.039838059	0.08013347	0.820678163
ERCC2	-0.049844024	0.084464958	0.820678163
MB21D2	0.250715869	0.137256901	0.820678163
ZMPSTE24	-0.112036141	0.146383682	0.820678163
RSPRY1	-0.026995067	0.157984225	0.820678163
POLDIP3	-0.088229647	0.197068102	0.820678163
ASH2L	0.00395459	0.248656992	0.820678163
ARSD	0.200277683	0.618386866	0.820678163
BRF2	-0.085550941	0.761722572	0.820678163
HERC2	-0.538482315	-0.538447038	0.820065214
JAG1	-0.924409856	-0.918880187	0.814572809
POLR2B	-0.300845298	-0.239127809	0.814572809
GNPTAB	-0.013936498	0.270467307	0.814572809
ERRFI1	-0.168356693	-0.550479497	0.812890085
GYS1	-0.025206748	-0.373577131	0.812890085
DENND1A	-0.002957312	-0.131541644	0.812890085
EPB41L5	-0.026961617	-0.10092643	0.812890085
SGSM3	-0.195607427	-0.061929268	0.812890085
DONSON	-0.063981969	0.030064693	0.812890085
AP2B1	0.041333938	0.093478149	0.812890085
UBR4	-0.021956702	-0.405322711	0.810652339
PTPRJ	-0.028083282	0.127598573	0.80182198
NCOA3	-0.384994957	-0.269020499	0.799456249
PEAK1	-0.008823067	-0.023021453	0.799456249
MED12	-0.34974199	0.060725758	0.793810663
NUP188	-0.109057637	0.143893307	0.792806908
HID1	-0.460291369	-1.596548686	0.789825994
BAG3	-0.18491831	-0.439129782	0.789825994
COPA	0.038923668	-0.31857447	0.789825994
SLC9A1	-0.071206101	-0.135710351	0.789825994
TMEM63A	-0.016795825	-0.049593106	0.789825994
DCBLD2	-0.125576904	-0.007436533	0.789825994
LIG4	0.22429101	0.453120548	0.789825994
OSMR	-0.426515407	-0.13920986	0.785765339
KRT77	0.72053716	-0.681599404	0.782690757
HYOU1	-0.15725581	-0.637007988	0.782690757
TGFBI	-0.547899738	-0.600389091	0.782690757
TRIM16	-0.046371122	-0.383749622	0.782690757
MCRS1	-0.446166841	-0.38024426	0.782690757
HECTD3	-0.167375407	-0.346611992	0.782690757
MTMR9	0.042774024	-0.291193508	0.782690757
PREP	-0.056930737	-0.27047885	0.782690757
SHPK	0.021911424	-0.212938281	0.782690757
TTC12	-0.252879153	-0.197124297	0.782690757
STAT5B	0.011208791	-0.139913306	0.782690757
MSLN	-0.644336442	-0.133419119	0.782690757
MRPS27	-0.130921671	0.012912406	0.782690757
KRT84	1.178750078	0.022807368	0.782690757
ANAPC7	0.005967989	0.049697044	0.782690757
LRRC8E	-0.081872401	0.069919532	0.782690757
SLC7A11	0.151514157	0.111401154	0.782690757
COQ6	0.171977891	0.136607967	0.782690757
GLB1L2	0.035162817	0.162307264	0.782690757
SLC9A8	0.393178698	0.236732553	0.782690757
GLB1	0.037022738	0.252242489	0.782690757
CNNM3	0.04482043	0.320014306	0.782690757
NOP9	-0.073067626	0.356515472	0.782690757
PCYOX1L	0.195133642	0.468155366	0.782690757
FRY	0.095003693	-0.174972239	0.776733199
CD320	-0.788567079	-0.622540626	0.776142593
PRPS1	-0.062070613	-0.461385265	0.776142593
PTGR2	-0.048692019	-0.439653301	0.776142593
NIT1	-0.006004581	-0.352221769	0.776142593
PDLIM1	-0.11431602	-0.286844603	0.776142593
C9orf64	0.052272578	-0.254492606	0.776142593
ZNF581	-0.121540646	-0.234661701	0.776142593
BECN1	-0.004235367	-0.232526577	0.776142593
TACO1	-0.139772356	-0.227863327	0.776142593
TSPYL1	-1.352719401	-0.209970163	0.776142593
MRPS18B	-0.176661733	0.020802513	0.776142593
MAPKAPK2	-0.048995451	0.026601423	0.776142593
ECH1	-0.041609907	0.041972445	0.776142593
MDH2	0.108239364	0.134017539	0.776142593
NF2	-0.023281647	0.144690624	0.776142593
EXOSC2	-0.005210233	0.20330544	0.776142593
U2AF2	0.060173695	0.206543589	0.776142593
PCNA	-0.223834593	0.228444197	0.776142593
DECR1	0.128077185	0.236905172	0.776142593
CYR61	0.131851919	0.257917913	0.776142593
MAPKAPK5	-0.401083235	0.266901642	0.776142593
DDX5	-0.035883224	0.277728288	0.776142593
STK35	-0.119914196	0.333068361	0.776142593
NCEH1	0.059323203	0.362694785	0.776142593
FAM69A	0.094094654	0.383690972	0.776142593
TOR2A	0.107293505	0.623356642	0.776142593
UBE3C	-0.05600762	-0.033657198	0.773257197
WDFY4	-0.102969101	-0.154319609	0.771792996
MSL2	-0.347715724	-0.467335374	0.769600763
NLRP2	-0.131549643	-0.338239401	0.769600763
C18orf25	0.122662077	-0.1414738	0.769600763
NAA25	0.138761143	-0.11689138	0.769600763
INPP5B	-0.011931548	-0.095136714	0.769600763
CLUH	0.08565917	0.031752799	0.769600763
NUP153	-0.146731348	-0.144884491	0.767232307
DNMT1	-0.200869371	0.096829166	0.761806626
TNKS	-0.116631584	0.106291218	0.761806626
ADNP2	-0.081257441	0.335803918	0.761806626
TSPAN6	-0.542631798	-0.750974157	0.757768847
SPC25	-0.367326184	-0.440259582	0.757768847
BIN3	-0.132946106	-0.437574577	0.757768847
BOK	-0.224820642	-0.334065831	0.757768847
TPD52L1	0.060761863	-0.296332648	0.757768847
APRT	-0.028016284	-0.282268951	0.757768847
STMN1	-0.001662243	-0.266958129	0.757768847
STK16	-0.098718014	-0.12562289	0.757768847
LANCL1	0.075004937	-0.102243115	0.757768847
COPS6	-0.012488091	-0.100374172	0.757768847
STX8	-0.075464486	-0.053909227	0.757768847
SPAG7	0.374789617	-0.039330181	0.757768847
GRHPR	0.100511429	-0.02939378	0.757768847
STX10	0.046813918	-0.02745922	0.757768847
HMOX1	-0.692257412	-0.021102274	0.757768847
GSTZ1	0.126697325	-0.012321085	0.757768847
AK2	0.04267079	-0.006431766	0.757768847
RAB2A	-0.008998492	-0.00630268	0.757768847
PDE6D	-0.045296614	0.001155132	0.757768847
PSMC3	0.052639634	0.029471798	0.757768847
DDRGK1	0.023438211	0.034716775	0.757768847
NDUFAF4	-0.075584927	0.041594394	0.757768847
ACBD4	-0.020018474	0.04507649	0.757768847
PPP1CC	-0.025519359	0.055107755	0.757768847
GTPBP8	-0.3703946	0.056830868	0.757768847
FAM213A	-0.027518927	0.074830283	0.757768847
CLDND1	0.010543506	0.080285413	0.757768847
RAB1A	0.07192642	0.082452277	0.757768847
TMBIM1	-0.082571819	0.086127669	0.757768847
MAPK12	0.334973174	0.09113625	0.757768847
RABL2A	-0.070976347	0.111674818	0.757768847
VKORC1	0.035681082	0.121290172	0.757768847
MTFP1	-0.105226606	0.144177027	0.757768847
MACROD1	0.046578899	0.154375351	0.757768847
SLC25A11	0.072633919	0.175056254	0.757768847
RPL18A	0.238133874	0.185209487	0.757768847
GLIPR2	0.020218084	0.186703898	0.757768847
TSR3	-0.248723717	0.201160964	0.757768847
VKORC1L1	0.014371892	0.220372996	0.757768847
CACNG6	0.180030062	0.242198516	0.757768847
SEPHS1	0.307328668	0.254975468	0.757768847
HUS1	0.123309209	0.261082075	0.757768847
ABT1	0.055240003	0.29110038	0.757768847
ETHE1	0.182374362	0.295967841	0.757768847
HIST1H1D	0.138827415	0.331263135	0.757768847
CDK4	-0.560262767	0.349544548	0.757768847
CYHR1	0.163721685	0.405133109	0.757768847
ARV1	0.002771444	0.50316797	0.757768847
KAT6B	-0.444072669	-0.208598772	0.757752135
TAF1	-0.141004969	0.118563159	0.755806113
TUBGCP5	0.053658585	-0.123731079	0.751721963
MTMR14	-0.149341631	-0.121173374	0.751721963
DHX30	-0.334089322	-0.101913578	0.751721963
TMEM245	-0.148831655	-0.041233532	0.751721963
NAT10	-0.171307456	0.133571818	0.751721963
POLR3B	0.032745123	0.164108918	0.751721963
CHD1L	0.244812262	0.198418578	0.751721963
SLC30A5	0.051170156	0.236282285	0.751721963
NCOA4	-1.15886235	-1.76273288	0.751337578
AMFR	-0.75462047	-0.513429531	0.751337578
ALDH6A1	-0.047805506	-0.459618141	0.751337578
SMG9	-0.125594705	-0.337798813	0.751337578
MTMR12	0.004424074	-0.257802898	0.751337578
DYNC1LI2	-0.038552324	-0.230379012	0.751337578
FUK	-0.081158886	-0.194852805	0.751337578
PATL1	-0.022966989	-0.170781713	0.751337578
VPS52	0.013259026	-0.094980284	0.751337578
PBX2	-0.085268761	-0.060168543	0.751337578
GUF1	-0.103536283	0.036078867	0.751337578
RAD9A	0.134969049	0.080560498	0.751337578
DDX10	-0.150930254	0.090489738	0.751337578
GTF2H1	-0.105697786	0.098980271	0.751337578
PPM1G	0.277068617	0.304454931	0.751337578
NDST2	0.236322511	0.460246749	0.751337578
FAM83A	0.771571126	0.807928673	0.751337578
MAPK8IP3	-0.012340157	-0.365985118	0.751290069
KDM5D	-0.580777152	-0.102238182	0.751290069
SHROOM3	-0.482905711	-0.841201789	0.750738576
DNMBP	0.068181011	-0.344912578	0.749715822
NOTCH2	-0.283640195	-0.086072804	0.738578313
ATP13A1	0.021844162	0.008490251	0.735807726
NHSL1	0.005138714	-0.582639662	0.733196342
C6orf132	-0.028096408	-0.011658466	0.732656131
TRAPPC10	0.121311995	0.02052737	0.732656131
APOB	0.238437131	-0.052654949	0.73073591
EML2	-0.122422437	-0.715225199	0.724996215
OCLN	-0.343801102	-0.534215642	0.724996215
GPR107	-0.370951843	-0.52247627	0.724996215
TGM3	0.306095648	-0.208645009	0.724996215
WDR24	0.090384237	-0.165325656	0.724996215
PPP2R1A	0.027643626	-0.028478457	0.724996215
LZTR1	-0.202547627	0.023298405	0.724996215
IDS	-0.092705275	0.115885104	0.724996215
UHRF1	-0.341528423	0.379746488	0.724996215
ALAS1	-0.323841374	0.753159309	0.724996215
TNFRSF1A	-1.268618981	-0.689009161	0.72488297
VPS37C	-0.316622432	-0.58312879	0.72488297
TPRA1	-0.216742345	-0.393528582	0.72488297
IFIT5	-0.17374977	-0.378394055	0.72488297
PREPL	-0.716433696	-0.290911014	0.72488297
PAICS	-0.00087504	-0.289377201	0.72488297
GPT2	-0.247619619	-0.235155409	0.72488297
GET4	0.071716139	-0.225060486	0.72488297
TSG101	-0.029911537	-0.211058266	0.72488297
THBD	0.052110924	-0.047797034	0.72488297
FECH	0.060108387	-0.012859063	0.72488297
ACOX1	-0.490580178	0.014013681	0.72488297
ANKRD10	-0.834848847	0.014336491	0.72488297
PEX26	0.028999308	0.058320884	0.72488297
ZNF48	-0.184498967	0.200553089	0.72488297
RRAGC	0.113588889	0.207064323	0.72488297
WARS2	0.096651005	0.241243801	0.72488297
ADRB2	-0.119496987	0.275004526	0.72488297
HNRNPA0	0.153269887	0.279207119	0.72488297
BUB3	0.065543554	0.320301131	0.72488297
POFUT1	0.180115413	0.406462148	0.72488297
TRMT6	0.157311771	0.438675345	0.72488297
EED	0.049083058	0.478410635	0.72488297
KDM3A	-1.137418677	-0.642624557	0.724373063
MED1	-0.065208754	0.162818658	0.721774556
MDK	-1.541571096	-1.33306384	0.721021355
CHTF8	-0.404609666	-0.655315246	0.721021355
TMSB10	0.233802999	-0.391268092	0.721021355
DYNLRB1	-0.011529862	-0.204714768	0.721021355
HRCT1	-0.325482928	-0.201712244	0.721021355
GLRX	-0.168327063	-0.165142862	0.721021355
THTPA	-0.009479304	-0.137113723	0.721021355
ANAPC11	-0.124199252	-0.102408337	0.721021355
NT5C	0.024541225	-0.095637832	0.721021355
FABP5	0.186615503	-0.053834783	0.721021355
ARF3	0.055089951	-0.033871393	0.721021355
SRP9	-0.17900931	0.015636802	0.721021355
NUDT1	-0.067981891	0.02195579	0.721021355
COX6C	0.107273808	0.053334414	0.721021355
MRPL23	-0.009785633	0.085636138	0.721021355
PPP1R14B	0.191848399	0.088133711	0.721021355
LSM6	0.105949117	0.095715962	0.721021355
ZNF706	-0.479501802	0.103703208	0.721021355
UBL5	-0.098070547	0.114642066	0.721021355
COX7B	-0.067972741	0.130581784	0.721021355
IFT20	-0.094121709	0.135690741	0.721021355
RPL36	0.202906034	0.149132384	0.721021355
AP2S1	0.091517874	0.191188126	0.721021355
FAM32A	-0.178599715	0.206875555	0.721021355
POLR2K	-0.030379593	0.208842498	0.721021355
POLD4	0.209555383	0.216515385	0.721021355
SEC61G	-0.237039955	0.218684429	0.721021355
ADI1	-0.164465484	0.245595261	0.721021355
CPLX1	0.066694075	0.274066619	0.721021355
NDUFC2	-0.061212331	0.283229013	0.721021355
SNRPD1	0.119673136	0.283998257	0.721021355
TOMM20	0.137079294	0.29250758	0.721021355
SMCO4	-0.156196532	0.297094457	0.721021355
YBEY	0.083038319	0.382022387	0.721021355
NDUFA11	-0.067510531	0.476785861	0.721021355
CYSTM1	0.133645225	0.510998528	0.721021355
BRI3	0.205716337	0.769191979	0.721021355
TANC1	-0.12045862	-0.475843409	0.719804842
PACS1	0.005133316	-0.105013678	0.716687653
ZNF318	-0.222859098	-0.048725519	0.712588082
KIAA0556	-0.266579449	-0.597106851	0.709542481
GEMIN5	0.045587873	-0.106733238	0.709542481
NSMAF	-0.076273602	-0.287165031	0.708728278
SRGAP1	0.069379585	-0.238994821	0.708728278
UIMC1	0.009436138	0.153456502	0.708728278
TLR3	0.066930288	0.244837368	0.708728278
IRAK2	-0.300024684	-0.214488069	0.702546164
TAF5L	-0.279573307	0.023593251	0.702546164
RBBP8NL	0.084517525	0.156602414	0.702546164
ZNF14	0.132714729	0.811596467	0.702546164
FAM160A1	-0.160050804	-0.230469616	0.697126437
RPTOR	0.059754749	-0.19485501	0.697126437
STK11IP	0.029268733	-0.098051238	0.697126437
SBF2	0.171357275	0.069097737	0.69087675
KIAA1217	-0.054913739	-0.10550061	0.687223057
NCOA7	0.095011365	-0.334253988	0.686590922
HAS3	-1.13277507	-0.651036366	0.685400402
BNIP3L	-0.531061054	-0.550584035	0.685400402
NDE1	-0.304942851	-0.424701719	0.685400402
SNX33	-0.071574891	-0.372655585	0.685400402
TTI2	-0.072593216	-0.313120848	0.685400402
TULP3	-0.784497973	-0.30915081	0.685400402
PIGA	0.05661992	-0.142604286	0.685400402
PTK6	0.262397357	-0.105433518	0.685400402
C1orf226	-0.075677208	-0.094673589	0.685400402
DDX28	-0.006725127	-0.061445337	0.685400402
CEP41	-0.034859938	-0.025187245	0.685400402
CASP4	-0.033704403	0.093017471	0.685400402
HTRA2	0.050976102	0.169122431	0.685400402
C1orf174	0.010131381	0.185433172	0.685400402
KRT7	0.171390312	0.239081203	0.685400402
NOP58	0.047363959	0.267885619	0.685400402
ATP6V1C2	0.063324332	0.366218153	0.685400402
SMARCD1	-0.023622287	0.47941444	0.685400402
STAT6	-0.065287077	-0.358242689	0.683185846
ADCY6	-0.078290076	-0.094558953	0.683185846
FMNL1	0.099096495	0.057199167	0.683185846
CPSF2	-0.095937429	0.159926017	0.683185846
GTSE1	-0.011080468	-0.323119795	0.676988755
SFSWAP	-0.069102727	-0.045853428	0.676988755
KRTCAP3	-0.290425819	-0.814162466	0.672159203
GOLPH3L	-0.466616936	-0.810556245	0.672159203
GALK2	-0.07393877	-0.609919299	0.672159203
FKBPL	0.107235331	-0.270631894	0.672159203
ARPC2	-0.070057278	-0.256597629	0.672159203
LIAS	-0.361930246	-0.213632385	0.672159203
NAT1	-0.061804406	-0.200927936	0.672159203
FAM45A	-0.017509198	-0.183077115	0.672159203
IMPA1	-0.019456879	-0.171065316	0.672159203
SYPL1	0.031391184	-0.11056436	0.672159203
TMED10	0.01813878	-0.108275977	0.672159203
UBE2Z	0.069811162	-0.091591153	0.672159203
EEF1G	0.153252723	-0.061158755	0.672159203
P4HB	0.097369638	-0.044743722	0.672159203
SIKE1	0.068609455	-0.017518597	0.672159203
PSMC6	0.038076617	-0.011912871	0.672159203
PGAM5	-0.086068461	-0.006214375	0.672159203
AUH	0.034778045	0.013870253	0.672159203
AGMAT	0.127279491	0.0213599	0.672159203
PPP1CA	-0.048116802	0.026057171	0.672159203
AQP5	-0.088508629	0.029777134	0.672159203
BAD	0.075011612	0.033278891	0.672159203
VTI1B	0.083328092	0.033349152	0.672159203
SDHB	-0.249321818	0.054412801	0.672159203
EIF4A2	0.357976413	0.072711106	0.672159203
