geneName	HEK293T.3h	HCT116.3h	Hela.3h	HEK293T.6h	HEK293.12h.CHX	HEK293.12h.noCHX	SUM159.12h	SUM159.0.2.24h
FLVCR2	-1.05918	0.119218	0.350406	0.332932	-1.00314	-2.4334	-0.300998	-0.385241
FKBP1B	-1.05033	0.289143	1.61344	-0.568664	-0.693695	-1.96391	0.14762	-1.99035
FAM124B	2.83063	-0.295819	0.613441	1.46786	-1.65522	0.736526	-0.115414	0.331573
TRIP10	-1.01261	-0.49355	-0.464069	-0.834281	-0.257057	-0.678511	0.291099	-0.48698
NCLN	-1.01324	-0.562923	-0.433608	-0.637807	-1.23857	-1.22481	0.100874	0.0127428
FAM83C	2.77619	-0.295819	0.613441	0.0528245	-1.65522	0.736526	-0.115414	0.331573
LRFN3	-1.00914	-0.295819	-0.386559	-0.563847	-1.19579	0.0584541	-0.161218	-1.209
CHAC1	4.61392	0.675422	4.00772	3.63779	4.16354	2.88092	-0.970598	-1.78989
KLF16	-1.01615	-0.454081	-0.189113	-1.28666	-2.08985	-1.31933	-0.0199945	-0.0309968
TNNT3	3.33878	0.704181	-0.971522	0.0528245	-1.65522	0.736526	-0.115414	0.331573
GSC	-1.00767	-0.295819	0.613441	-0.663383	-1.28083	-0.737405	-0.115414	0.331573
RPS15A	-1.02272	-0.831872	-1.31756	-1.77315	-1.9024	-1.2945	0.193172	1.34659
CCDC102A	-1.02518	-1.29582	-0.141447	-0.387748	-0.69041	-0.531963	-0.00849888	-1.19894
AOAH	3.46806	-0.295819	0.613441	0.0528245	-0.0702581	0.736526	-0.115414	1.33157
TPGS1	-1.05895	0.134815	-0.519826	-0.458137	-1.11269	-1.02901	0.184146	-0.198941
IGSF11	-1.0555	-0.295819	0.613441	0.190328	-0.333293	2.05845	-0.115414	0.331573
EPHA1	3.46806	0.332212	0.613441	0.0528245	-1.65522	0.736526	0.884586	0.331573
PTGES	-1.00226	-0.253999	-0.708487	-1.71271	-0.825146	-1.07083	-0.288529	-0.395232
MFSD14A	4.12014	-0.295819	-0.386559	-0.947175	-1.65522	0.736526	0.036589	-0.0309968
AP3S2	2.76762	0.704181	-0.193914	0.900821	0.308253	0.736526	0.884586	1.55397
RHBDL2	3.46806	-0.295819	0.0284782	0.0528245	-1.65522	0.736526	-0.404921	0.679497
HSF2BP	2.85335	-0.295819	0.0284782	0.467862	0.929742	1.54388	-0.363342	0.941627
S100B	2.83063	0.704181	0.613441	0.0528245	-1.65522	0.736526	-1.11541	-0.668427
ALKBH4	-1.00672	0.364694	-0.345917	-0.346783	-1.10317	-0.863867	1.05451	0.533207
RPL8	-1.04549	-0.120175	-0.323669	-0.592238	-0.836902	-0.849098	0.00333486	0.776962
KLHL21	-1.04624	-0.724663	0.221862	-0.898266	-0.360773	-0.765974	-0.649887	0.0486393
RFTN2	2.66071	-0.295819	0.613441	-0.139821	0.666707	0.736526	0.884586	-0.668427
DPPA2	2.66071	-0.295819	0.613441	0.637787	-0.655221	0.736526	-0.115414	0.331573
FXN	-1.03444	-0.103174	0.902947	-0.979597	-1.39649	-1.17036	6.31305e-05	-0.253389
MAMDC2	3.46806	-0.585326	0.227508	1.63779	-1.07026	0.736526	-0.115414	-0.668427
SSMEM1	3.46806	-0.295819	0.613441	0.0528245	0.344779	0.736526	0.884586	0.331573
NOXRED1	4.12014	-0.295819	0.613441	0.0528245	1.15213	0.736526	-1.11541	-0.668427
DIPK1B	-1.0486	-1.03278	0.613441	-0.380686	-1.63066	-0.820691	-0.115414	0.331573
BRD7	-1.0518	-0.518212	-0.895573	0.24547	-0.573921	0.0319819	0.370013	-0.09727
NOD2	3.16321	-0.295819	0.350406	1.05282	-0.333293	-0.263474	-1.11541	-0.668427
ZNF668	-1.00914	0.350544	0.170922	-0.144212	-0.0869369	-0.189473	-0.180265	0.198818
NUDT8	-1.03375	-0.433323	0.0284782	-0.297673	-0.751081	-1.35863	0.344018	-0.00546169
PTF1A	2.83063	-0.295819	0.613441	-0.947175	-1.65522	0.736526	-0.115414	0.331573
GBX2	-1.06176	-0.295819	-0.234556	0.415395	-0.195789	-0.678511	1.46955	2.91654
GPRIN1	-1.04392	-0.636856	0.042284	-0.665763	0.162403	-0.301948	0.144453	-1.03371
UMOD	4.24567	-0.295819	0.613441	0.0528245	-1.65522	-0.263474	-0.115414	0.331573
TAS1R3	3.19676	-0.295819	1.1984	0.0528245	-0.655221	0.736526	1.46955	0.331573
VAT1L	4.67863	-0.0327849	1.78337	-1.94718	0.666707	0.736526	-0.115414	1.33157
SYNPO2	2.83063	0.0261088	0.333333	1.05282	-0.655221	0.736526	-0.115414	-0.668427
FUT9	3.46806	-0.295819	0.613441	0.0528245	-1.65522	0.736526	-0.115414	0.331573
SNX32	3.12014	-0.295819	0.613441	0.0528245	-0.0702581	0.736526	-0.115414	1.33157
C11orf80	-1.04556	0.841684	-0.276376	-0.110674	0.617798	-1.4334	0.387086	0.0196293
C9orf131	2.66071	-0.295819	-0.386559	0.0528245	-1.65522	-0.263474	-0.115414	0.331573
RPL4	-1.04427	-0.413015	-0.482395	-0.676115	0.272892	-0.766532	-0.226775	0.777535
B4GAT1	-1.05718	0.527303	-0.772838	-0.318244	0.584957	-0.731753	0.0988371	-1.86238
PFN4	3.24567	-0.295819	2.1984	2.05282	-0.0702581	1.73653	-1.11541	-0.668427
CTXN1	-1.0491	-0.543747	-0.201004	-0.151995	-0.872812	-0.333863	0.450183	0.935645
VWA1	-1.02022	-0.714532	-0.708487	-0.851598	-1.14503	-0.790721	0.434783	-2.15385
KCNA4	3.12014	0.289143	-0.971522	-0.532138	-1.65522	0.736526	-0.115414	0.331573
H2BC21	-1.04531	-0.0818045	-0.746561	-0.151194	0.29134	-0.69801	0.755303	-0.742427
SHC4	2.66071	-0.295819	0.613441	0.637787	0.666707	0.736526	0.884586	-1.66843
SERTAD1	-1.05918	-0.166051	0.230112	-0.321571	-1.33972	0.0844493	-1.73904	-1.40308
C1D	-1.05346	0.119218	0.31971	-0.269104	-0.364828	-0.170365	-0.45201	-0.0586608
KLHDC1	3.46806	1.70418	1.61344	0.0528245	0.666707	0.151564	-1.70038	-2.25339
MUC2	3.5676	-0.295819	1.61344	0.0528245	-0.655221	2.73653	-2.28534	1.48358
KTI12	-1.01172	0.704181	-0.348085	0.0528245	-1.05115	-0.465108	-0.714052	0.61488
CCDC167	-1.03662	0.540682	0.691443	-0.121426	-1.00025	-0.511401	0.345138	-0.112527
GP1BB	-1.06014	-1.03278	1.4208	0.24547	-1.5269	-0.585402	0.884586	0.331573
RAET1G	-1.06014	-1.29582	-0.166229	-0.0915654	-0.432828	-1.26347	0.238223	-0.838352
NOTCH4	3.24567	-1.29582	-0.386559	1.05282	0.152134	0.736526	-0.115414	0.331573
SAP25	2.66071	-0.295819	1.61344	0.0528245	-1.65522	0.736526	0.884586	0.331573
TRAV8-6	3.46806	-0.295819	0.613441	1.63779	-1.65522	0.736526	-0.115414	0.331573
TAS2R14	3.46806	-1.29582	-0.386559	0.637787	-2.24018	0.736526	-0.115414	0.331573
C4orf48	-1.02549	-0.634621	-0.545758	-0.0965531	-2.12116	-1.14483	0.156546	0.480888
ACTN3	2.67598	-0.474525	0.613441	-2.2691	-2.65522	-1.26347	-1.11541	-0.668427
AP5B1	-1.01575	0.0984597	-0.469021	-0.929254	-0.553341	-1.30977	-0.0342773	-1.12786
RNASE4	-1.05354	-1.44782	-0.0970527	-0.110674	-0.577218	0.151564	-0.32901	-4.43661
ZNF559-ZNF177	2.83063	-0.295819	0.613441	2.05282	-1.07026	0.736526	-0.115414	0.331573
ENSG00000283128	2.83063	-0.295819	0.613441	-0.947175	-1.65522	0.736526	-0.115414	0.331573
ENSG00000288614	-1.02735	-1.46574	0.0284782	-0.236682	0.929742	0.414598	-0.0223047	-0.575317
ENSG00000288623	-1.02895	-0.617747	-0.971522	-0.77725	-2.24018	0.321489	-0.477984	-1.25339
MCUB	-0.642868	-0.0327849	-1.13992	-0.266996	-0.648234	-0.597893	0.18944	-0.897909
THSD7A	0.201278	-0.295819	3.4208	1.86018	0.666707	0.736526	-0.115414	0.331573
LRRC7	2.24567	-0.295819	2.48791	0.0528245	-0.655221	0.736526	0.884586	0.331573
METTL22	0.5676	-0.59538	-1.12352	0.188176	-0.496791	-0.19636	0.78791	-0.137912
PTPN18	-0.667478	-0.973891	-1.15209	0.121537	-0.445003	0.85682	0.347112	0.273626
EDN1	-0.924253	1.02611	1.60095	1.37475	-1.65522	0.736526	-1.11925	-0.102726
FKBP1A	-1.24746	-0.322786	-1.43719	-0.400801	-0.201152	-0.154245	0.143673	0.924398
SI	0.660709	-0.295819	2.78337	0.0528245	-1.65522	0.736526	-0.115414	0.331573
ZNF268	0.508706	0.566677	2.2573	0.724202	1.04522	0.0584541	-0.862648	1.18638
NLRP1	1.5676	-1.61775	1.37243	0.637787	-0.0702581	0.151564	-0.133676	-0.98131
MKNK2	-0.822991	-0.706452	-1.31256	-0.776064	-1.49984	-0.876451	0.339424	-1.17725
PNPLA3	-0.287168	0.441146	1.66075	-0.560993	-0.316419	-1.67156	-0.700377	0.505603
BBC3	0.316375	-0.386017	2.1984	1.09722	2.17916	1.48499	0.446465	0.187183
GIT1	-0.615808	0.0304089	-1.16234	-0.474422	-0.506991	-0.792402	0.285948	-0.344685
CCL7	0.660709	-0.295819	-1.5792	0.0528245	-1.65522	0.736526	-0.115414	0.331573
CDK2AP1	-0.577314	-0.423827	-1.00979	-0.267056	-1.69739	-0.490543	0.260734	0.146218
PTP4A1	0.992269	0.954159	1.80512	1.56907	1.36715	2.85852	-1.13444	1.61649
POLR3G	0.106029	-0.194124	-1.06774	-0.970076	-1.02826	-2.04108	0.113673	0.508193
STC2	2.33216	0.347175	1.40263	2.73973	2.80364	2.32451	-0.692709	0.745237
ZBTB47	0.73706	-1.88078	-1.30712	-0.988996	0.0026734	-0.920586	0.486622	0.168075
IL1A	0.660709	-0.295819	2.7009	0.0528245	-1.65522	0.736526	-1.30806	-0.208995
CCL20	-0.339291	-0.295819	3.1984	0.0528245	-1.65522	0.736526	-1.11541	-0.416888
MIIP	-0.300337	-0.390977	-1.10277	0.442391	-0.749138	-0.533563	0.386335	0.833322
TNFAIP3	-0.438826	0.552178	1.7057	-0.362213	-0.0702581	1.47349	-0.221456	1.61435
TGIF2	-0.524547	-0.0734269	-1.33409	0.111241	-0.25833	0.447019	1.33389	1.41249
MAPKAP1	0.331402	-0.632854	-1.06348	-0.243417	-0.937951	-0.938634	0.502413	-0.230306
OGFRL1	-0.282364	-0.973891	-1.087	-0.152494	-0.568921	-0.327604	0.226505	0.0752335
TIMM8A	-1.06959	-0.402734	-1.32998	-0.422514	-0.956601	-0.317922	0.114068	0.997154
ADM2	1.76025	0.289143	2.72892	3.22275	1.92974	1.95892	-1.43734	1.33157
ATF4	2.33763	0.908136	4.13985	3.11283	2.23124	2.25839	0.166562	1.33475
EGLN3	-0.19863	-0.973891	-1.01188	-0.607689	-1.22226	-1.90733	0.307688	-1.34004
SSBP4	-0.540924	-0.268339	-1.06937	0.120463	-1.7206	-0.0410816	0.665946	0.740964
GDF15	0.798213	-0.085508	1.6265	-0.0991786	2.04522	2.73653	-0.650003	2.13788
SESN2	1.84715	0.612258	2.49096	2.50155	2.75544	1.83205	-0.399207	1.17383
TRIM21	0.17221	0.317158	-1.02399	-0.922085	-0.432828	0.906451	-0.115414	-0.402767
IL6	0.660709	-0.295819	1.4208	0.0528245	-1.65522	0.736526	-1.92277	0.756879
SMAD6	0.0135904	-1.43332	1.44994	0.458584	0.190269	0.63699	0.562658	-0.668427
DUSP5	-0.596448	0.320852	1.44743	-0.75453	-1.24018	-1.84844	-1.33717	-1.42668
PMAIP1	1.21945	0.413731	1.56155	1.30574	0.619242	0.966532	-0.700377	1.08765
WDTC1	-0.15192	-0.0893684	-1.24454	-0.432602	0.0974693	0.406377	0.691941	-0.793958
EIF2D	-0.0911955	-0.180342	-1.07462	-0.295553	-0.314184	-0.234328	0.227032	-0.0669761
SLC20A1	-0.192304	0.294017	-1.01679	-0.832148	0.0287199	-0.415477	-0.498515	-1.92441
