geneName	MCF10A_EtOH_4h	MCF10A_TAM_4h	Hela_6h	Hela_9h	MCF7_48h	T47D_48h	Hs578t_48h	MDAMB231_48h
FAM162A	0.0271617459565372	0.0424138052036821	0.15051	-1.52894	0.0941301	0.00752977	-0.178633	0.861007
CCL20	1.42367711660742	0.047237353001304	1.8522	5.42515	-0.384917	0.632707	-1.62515	0.484152
PRDX1	-0.119366385672384	0.142186593212069	-0.143538	-1.41779	0.368832	-0.268208	-0.595741	0.0375552
EGR1	1.74488477557457	0.050941951138786	2.03728	5.26686	0.492599	-0.01937	1.6737	-0.281382
NCKAP1L	NA	NA	2.79078	4.64219	-0.384917	0.632707	-0.625149	-1.10081
ATP5F1E	-0.501779278288653	0.7808600116585	0.111207	-1.87417	-0.41249	-0.449394	0.23701	0.525972
KLHDC3	-0.24057032822084	0.262570663285632	-0.856626	-1.73354	-0.116428	-0.21036	0.299563	-0.00888775
SNRPD2	-0.304271109453808	0.000158332726806947	-0.0569507	-1.67282	-0.440812	-0.0870094	0.771456	0.0344686
CD93	NA	NA	2.96452	4.74114	-0.384917	0.632707	-0.625149	0.484152
COX7C	-0.0591631257770652	0.273828292391635	-0.131102	-1.89647	-0.183501	0.268474	0.182206	0.279038
BAIAP2L2	NA	NA	1.84048	4.5129	-0.384917	0.632707	1.41924	-1.10081
SMO	NA	NA	0.281001	7.09113	-0.384917	-0.329819	-0.947077	0.484152
IQCN	NA	NA	2.7907	4.72935	-0.384917	-0.367293	-0.625149	0.484152
OLFM1	NA	NA	-1.25687	-1.25841	0.210462	-1.00278	-1.62515	-0.323203
COX7B	-0.241976258345145	0.10811242714168	-0.716002	-1.98799	-0.474671	-0.981584	0.0804034	-0.275897
RPL27	-0.519781466436897	0.172219518995922	0.00662216	-1.68425	0.383137	-0.381918	-0.00761885	0.739703
KL	NA	NA	2.28208	5.2391	0.352049	0.632707	-0.625149	0.484152
TXN	0.0715794834117064	0.171769417202876	-0.145441	-1.70871	-0.276723	-0.162691	0.56378	-0.130105
DUSP5	0.600996650312315	0.0196140619005773	1.09647	4.57386	-0.829701	0.0403647	1.92505	0.517319
SNRPF	-0.320376804650388	5.04119811086536e-05	0.520324	-1.83214	0.151008	-0.180154	0.597243	0.133465
EMP3	-0.169289621485918	0.462318639070877	0.198438	-1.46965	0.200046	-2.62509	-0.26945	-0.144357
PLAC8	-0.297770026124527	0.826053857414209	-0.245548	-1.97457	1.20005	1.21767	-0.625149	0.108941
RPL37	-0.633681967064828	0.0122782479625599	-0.0371149	-1.72667	0.904702	0.386269	0.996049	0.740468
SNX12	-0.392024982182342	0.122892432986441	-0.0838004	-2.41616	-0.32521	0.411383	-0.0544006	0.0460311
ST18	0.21591372160409	NA	2.69196	4.78015	-0.384917	0.632707	-0.625149	0.484152
POLR2K	-0.2323628414172	0.586850502294916	-0.071972	-1.86186	-0.0909709	-0.132234	1.20179	0.654077
DBI	-0.257556495856842	0.102978755778046	-0.41877	-2.68203	-0.0854588	-0.845012	-0.565368	-0.239874
ITGAD	NA	NA	2.77607	4.76791	-0.384917	0.632707	-1.62515	0.484152
ACTC1	-0.513512672376691	0.692402128111004	-0.619491	-2.10274	0.615083	0.632707	-2.21011	-1.10081
SHANK2	NA	NA	2.4358	4.68352	0.137851	-0.355419	-2.04019	-0.10081
CXCL3	1.25685068068102	0.24757039031196	2.9222	4.621	-0.384917	0.632707	0.374851	0.484152
SP8	-1.27310476617837	0.893932528090773	3.2766	4.72938	-0.384917	-0.367293	-1.62515	-1.51585
UGT1A6	1.54776041647402	NA	2.88667	4.58912	2.11465	0.632707	-1.62515	0.484152
KMT2D	-0.282727003510966	0.00135978105070373	-2.26146	-1.50781	0.10834	-0.150242	0.690958	-0.117196
NLRC3	NA	NA	2.89588	4.78646	-0.384917	0.632707	-0.625149	0.484152
SCARA3	-1.0647055840353	0.00803671251888973	-2.29117	-1.79387	0.96872	-1.96147	-2.11516	-2.24167
