geneName	MCF10A_EtOH_4h	MCF10A_TAM_4h	Hela_6h	Hela_9h	MCF7_48h	T47D_48h	Hs578t_48h	MDAMB231_48h
GDF15	3.15723560903276	2.58824143262887e-05	3.55724	4.27656	-0.951829	3.97772	1.07529	0.697983
SESN2	2.89864894373445	8.53509063163852e-24	2.19707	1.91684	-0.784088	0.267422	3.27891	0.341194
ZSWIM4	1.99977856916756	0.0642087893266708	-0.638321	3.67922	0.0301209	-0.527758	2.14353	0.179298
KHDC4	1.26230556505743	1.21144679091389e-06	0.387437	0.937322	0.0566817	-0.989881	2.52495	0.201753
CCNA1	2.53302403608036	0.00701773604211015	-0.200102	0.899452	0.615083	0.632707	-0.625149	-4.10081
BTG1	1.15884150592088	0.163856590233138	2.17735	2.22266	-0.712081	0.162761	2.41472	0.718618
IRAK2	2.46150378296256	0.200855927613367	-0.361301	1.46001	0.615083	1.80263	1.15775	0.389515
SLC38A2	1.72067592451219	5.95356265343666e-20	1.67072	2.16596	0.300731	-0.120702	-0.0572161	-0.0263048
LPIN1	1.6337841325635	1.68606885628704e-05	0.899411	1.09372	0.395302	-0.0647305	0.879845	-0.480658
NAV1	-1.47464798249157	0.0333026146303706	-0.0551278	2.11965	1.10051	-1.95226	-0.841877	-1.04478
PSAT1	2.16323669774782	6.17944840782951e-27	1.77341	1.74877	1.35205	0.861672	0.815697	1.16154
TES	1.36237017374507	1.56647004963396e-11	2.26153	2.22379	-0.222187	1.63271	1.22168	0.110337
NHSL1	1.63127072298217	0.293782979567219	1.33691	1.89918	-0.0568624	0.079553	0.125491	0.828107
SKIL	1.50667967156116	0.000324682317965087	0.0338827	0.878567	0.59184	0.420868	0.31345	-0.128825
KLF4	3.63607719070954	4.17957947330672e-06	1.31422	2.02586	0.0625424	-0.197368	1.62083	0.757529
TJAP1	1.50716701727991	0.0784997881581808	0.880646	1.64997	-0.384917	0.109145	1.48656	0.339762
IER3	2.17989268655098	0.0715924823954222	1.87847	2.79133	0.0332268	1.17675	-0.414094	-0.48859
RNF144B	1.94622602374782	6.27188720093296e-06	3.15056	2.27739	0.236572	0.228316	-0.101587	-0.19392
CYP1B1	1.10538158451919	2.93428227407712e-07	1.78611	2.25114	0.82388	0.463913	-2.09645	0.777385
TACC2	1.09522938575385	0.0840771865187233	0.00492485	0.473794	0.191355	0.795843	1.22181	-0.390317
RGS3	1.71102836917335	0.0103947679374395	-1.27902	2.09791	-0.51365	-1.02466	1.77907	-0.586237
PHLDA1	2.27551111329617	0.000205010169865415	1.06024	3.87113	0.380618	1.40715	2.99168	0.178251
JDP2	2.19148941708408	0.209920842775939	0.635832	0.775105	-0.528281	-0.081891	-0.329693	0.358621
WARS1	1.03926247632209	1.41554525672249e-10	1.34775	1.89046	-0.344955	1.38417	1.43843	1.075
CDH11	-2.33446770679333	0.750625300262911	2.72909	2.90235	-1.38492	0.632707	-3.13972	-1.03552
OSGIN1	2.67561327516665	0.514531943921708	-0.648109	1.23613	-0.115156	-1.32149	1.1684	0.636155
RPS2	-1.25560432579433	0.220345201443098	-1.21586	-0.409905	0.516399	0.962702	1.06135	0.0811876
CBX4	2.23516999908664	3.74269011414023e-05	1.99892	2.52569	-0.326657	0.405808	0.965394	0.00881425
PMAIP1	2.61394600290656	1.61176560036009e-27	2.55813	2.56134	0.167624	0.825352	1.30976	0.867481
EPHA2	1.37089825490487	7.61570234303528e-06	-0.478903	1.44553	0.193533	-0.287123	0.493442	-0.562008
LMO4	2.48542277115494	2.7061939402977e-14	1.9755	2.51884	-0.384917	0.546292	1.06451	0.136229
ABL2	1.00575379335406	1.25699390547113e-09	1.24204	1.85598	0.303882	0.196608	2.38653	1.43148
DUSP10	1.66006633911254	0.301836262629776	0.14136	2.45651	0.807728	-0.155789	0.92944	0.527221
RIT1	1.68744865722189	0.0492249076099904	2.18131	2.05456	0.256189	-0.248899	1.45014	2.25553
MAP3K21	-1.09571452040605	0.00646751334289802	-1.41337	0.761364	0.176962	-0.227116	-0.625149	-0.0183481
CSRNP1	1.91525135981388	1.1173787618068e-07	0.51423	1.83514	-0.420541	-0.191722	1.45974	1.82811
PHLDB2	1.10382962597759	2.92088731162704e-08	0.331525	0.779946	0.200046	-0.504797	-0.387537	0.291507
USP53	1.01813176000416	0.000525525615957417	0.379079	0.894888	0.0878364	-0.239743	0.452853	0.136229
TSLP	2.80425287267647	0.00139827787053808	3.88846	4.83121	-0.384917	1.63271	1.7405	0.484152
TPBG	1.21626441805074	0.00143395023929529	0.281067	1.78342	-0.238886	1.0484	0.110906	0.157819
PNRC1	1.43918385962723	0.0234922375227178	-0.350334	1.00518	0.369971	0.112928	1.53712	0.815358
CREB5	1.68997803782966	7.53985384824818e-05	1.96411	4.08117	-0.384917	-0.367293	2.74408	0.204044
PSPH	2.0067424879489	1.33336703701622e-07	2.1402	2.31779	-0.890557	0.319767	-0.128723	0.667016
ZC3HAV1L	-1.26690423151356	0.000805476544981359	0.736552	0.647231	0.777355	0.701969	-0.362115	0.34329
VLDLR	4.06322818983916	0.177012094005517	1.90581	2.96987	-0.430882	1.06711	0.416671	-0.288437
SURF6	-1.28068114221409	0.0776168809445167	0.622989	1.02609	-0.298502	0.304178	0.85005	1.03723
EIF4EBP2	-1.27666443221717	0.00359983733763503	-0.566566	-0.199771	0.309457	-0.167684	0.670307	-0.216287
ITPRIP	2.01717403835983	6.53101506135042e-06	0.618268	1.96798	-0.531758	0.369672	0.482607	0.452739
EI24	-1.10085690041985	0.000412880967838112	-1.16178	-0.390917	-0.164951	-0.250696	0.495145	0.484152
SLC7A11	1.75042578261844	1.52302261482056e-32	0.949137	0.358541	-0.744537	1.42578	-1.29278	-1.07354
GEMIN6	-1.0453408624488	0.0590281000185798	0.0432921	-0.170537	-0.110294	0.149028	0.164928	1.01208
FEZF2	1.95556551327213	0.610148215669248	2.61376	2.47518	0.414785	0.322367	0.340085	-0.275897
LPCAT1	-1.21675764648773	0.0207436267798728	-0.6784	-0.219944	-0.0156074	-0.624304	-0.779272	-1.69583
LURAP1L	2.59724129656529	0.60592580337271	3.78993	3.36806	-0.993726	-0.900512	1.82551	0.706545
CEBPG	1.09261093012896	4.91432976262146e-06	2.31793	2.30643	-0.803934	0.0757092	0.860278	0.0334909
TBRG1	1.21781236837069	0.210574074020526	1.0557	0.217921	0.252513	0.6916	1.5246	-0.0564161
HSPA13	1.51011241373077	2.56843313254062e-16	1.23179	1.81087	-0.550706	0.191086	-0.0586079	-0.217562
FZD7	2.1428726816125	0.812118987404787	0.467596	1.41756	0.40709	-0.99665	0.26261	-0.78317
EEF1A1	-1.03684726125235	0.108408585363541	0.383919	-0.371133	2.38249	1.44654	-0.486173	0.170492
TSC22D3	3.55564137109297	1.70171634757428e-19	4.2311	3.72159	-0.772856	0.948734	0.877351	0.66103
RUNX1	1.18999119270246	1.86222739034824e-05	0.540828	0.809494	-0.35577	-0.410362	1.51621	-0.583592
IER2	1.15045700013393	0.176950769015938	1.23646	2.9494	-0.0866314	0.999916	1.823	1.02225
RPL26	-1.17273047747819	0.0208570770773328	-1.93993	-1.43699	0.955708	0.313205	0.593861	0.473956
LRP5	-1.09247248569097	0.00153292167866615	-1.94114	-1.55393	0.10607	-0.521277	-0.777152	-1.65488
