geneName	HEK293_2h	HMECs_1h	HMECs_24h	MCF10A_2h	M231_1h	SUM159PT_1h	SUM159PT_24h
ADM2	NA	0.92232	2.4136	0.821706	-0.443387	-0.81386	-2.22971
LIF	NA	-0.543998	-1.42617	-3.73288	-0.58983	0.628658	0.720603
BBOX1	NA	0.699928	3.24368	0.236744	0.749258	1.21362	0.498211
EGLN3	NA	-0.232008	-1.37299	-0.0262908	-0.426592	-0.251048	0.412054
GAMT	0.412366131725253	0.337358	1.94412	0.904168	-0.1447	0.577777	-0.115606
APOE	NA	0.452835	1.5167	0.499778	0.20869	0.704801	-2.80368
GDF1	0.213499088504667	1.33736	2.35915	1.82171	0.334221	0.213621	-0.501789
CASZ1	0.82125426519383	0.157449	1.55562	-0.376233	-0.0774102	1.93945	1.75197
AKAP12	0.106737826417991	0.314859	-2.24678	-4.54686	0.166739	2.53555	1.08317
C1QL1	0.754387325972705	-0.247605	2.46607	-1.42622	0.251759	1.39419	0.678783
GFAP	NA	0.0154298	2.24368	-1.34822	1.51479	1.0437	-0.0867515
KREMEN2	0.65241898503096	0.114965	1.13676	0.864775	-0.550302	2.62866	1.77123
NINJ1	0.569434402911802	-0.0445127	1.12119	0.615255	-0.107378	-0.550312	-0.135661
GCH1	0.183710687435117	-0.388467	-1.18259	1.50787	0.128752	2.29162	0.498211
MTSS2	0.869979299946967	0.243143	1.11815	-0.984628	-0.415017	0.969892	0.195773
TOE1	0.893369501153611	0.473495	-1.01936	-1.52879	0.184924	-0.0652388	-0.582709
KMT5C	0.752297917292661	0.00615199	2.2529	2.7728	0.230148	1.30525	-0.262601
LOXL2	NA	0.00914001	-1.08048	-0.135495	-0.0172699	1.09468	-0.60578
VAV3	NA	0.387111	1.08321	3.45914	0.749258	4.97612	-0.309144
CYP2J2	NA	-1.14807	-1.97871	0.236744	0.136281	0.503127	-1.34979
DSC2	0.891643796479265	0.145207	1.00585	0.236744	0.135951	0.851051	-0.256677
DSG3	NA	-0.0205995	1.07127	0.0668186	-0.250742	1.21362	0.498211
DSG1	NA	0.401488	2.48469	0.236744	-0.250742	1.21362	0.498211
DSC1	NA	0.337358	2.788	0.236744	-1.25074	0.213621	-1.50179
ETS1	NA	0.0541103	-1.07238	-2.11639	0.01739	-0.753531	0.0411818
ADAM19	0.568584556706508	-0.0261493	-1.38794	-1.15557	-0.187126	1.79858	0.498211
OASL	0.347100388680833	-0.555727	1.45013	0.558672	0.300273	-1.28804	-0.32181
DTX1	NA	1.33736	3.4136	0.236744	1.33422	1.21362	1.49821
MRAP2	NA	1.33736	2.24368	0.821706	-0.250742	1.79858	0.498211
PHF21A	0.600585423353796	0.281324	1.22292	1.18016	-0.0492998	-0.0951321	0.624844
GLS2	NA	0.0643394	1.53544	1.55867	-1.8357	1.21362	1.23518
RDH5	NA	3.14471	3.24368	1.23674	0.0971815	2.0437	-0.671714
B4GALNT1	NA	-0.531398	-1.06118	0.583194	-0.522044	0.83253	0.117121
FBXL8	0.602160989021232	0.16048	1.1282	0.821706	-0.108723	0.957281	0.0261425
EGLN1	0.77321130277232	0.16286	-1.01571	0.264224	-0.0580967	0.304768	0.164474
GLUL	0.295119011189749	-0.105959	1.44102	0.185417	-0.0352181	-0.0166139	0.716004
NPL	0.243226255046713	0.278464	1.12338	2.23674	-0.250742	1.21362	0.176283
SCEL	NA	0.138578	1.15532	0.236744	1.33422	1.21362	0.498211
LCP1	NA	0.136218	-1.13879	-1.34822	-0.0434064	-0.562164	0.0107399
GPNMB	NA	0.337358	3.05551	3.40667	-0.402745	3.67305	-1.08675
TBR1	NA	-0.662642	2.24368	0.236744	0.749258	3.21362	0.498211
GALNT5	NA	0.048623	1.04407	0.236744	-0.420667	0.223963	0.669289
TLR4	0.977986326407728	-0.155682	-1.1969	-0.348219	0.603407	-0.371342	-0.386312
CTSV	0.836529029792275	0.118641	1.23259	0.191656	0.0441631	0.891692	-0.354232
CD72	NA	0.92232	2.24368	1.23674	-1.25074	0.628658	0.720603
TMEM8B	NA	-0.363082	1.29813	0.781064	-0.606886	0.686374	-0.029036
RPS6	0.76885154078856	0.0749858	-1.00009	-1.76779	0.404338	-0.248772	-0.377861
GMPR	NA	0.167433	1.62834	-1.34822	0.184474	-0.572976	0.66891
SYTL2	NA	0.164891	1.05971	-1.34822	0.291675	0.628658	0.498211
PI15	NA	-0.717784	-1.17136	0.236744	1.33422	1.21362	0.498211
TMPRSS4	NA	-0.662642	1.98064	0.236744	-0.250742	1.21362	0.498211
DUOX1	NA	-0.254764	2.22028	0.0210149	-0.890152	1.12317	-4.41667
GCHFR	0.937026522376669	1.33736	3.4136	1.44319	-0.250742	-1.31689	-0.0323037
